1;KABUPATEN SIMEULUE
2;KABUPATEN ACEH SINGKIL
3;KABUPATEN ACEH SELATAN
4;KABUPATEN ACEH TENGGARA
5;KABUPATEN ACEH TIMUR
6;KABUPATEN ACEH TENGAH
7;KABUPATEN ACEH BARAT
8;KABUPATEN ACEH BESAR
9;KABUPATEN PIDIE
10;KABUPATEN BIREUEN
11;KABUPATEN ACEH UTARA
12;KABUPATEN ACEH BARAT DAYA
13;KABUPATEN GAYO LUES
14;KABUPATEN ACEH TAMIANG
15;KABUPATEN NAGAN RAYA
16;KABUPATEN ACEH JAYA
17;KABUPATEN BENER MERIAH
18;KABUPATEN PIDIE JAYA
19;KOTA BANDA ACEH
20;KOTA SABANG
21;KOTA LANGSA
22;KOTA LHOKSEUMAWE
23;KOTA SUBULUSSALAM
24;KABUPATEN NIAS
25;KABUPATEN MANDAILING NATAL
26;KABUPATEN TAPANULI SELATAN
27;KABUPATEN TAPANULI TENGAH
28;KABUPATEN TAPANULI UTARA
29;KABUPATEN TOBA SAMOSIR
30;KABUPATEN LABUHAN BATU
31;KABUPATEN ASAHAN
32;KABUPATEN SIMALUNGUN
33;KABUPATEN DAIRI
34;KABUPATEN KARO
35;KABUPATEN DELI SERDANG
36;KABUPATEN LANGKAT
37;KABUPATEN NIAS SELATAN
38;KABUPATEN HUMBANG HASUNDUTAN
39;KABUPATEN PAKPAK BHARAT
40;KABUPATEN SAMOSIR
41;KABUPATEN SERDANG BEDAGAI
42;KABUPATEN BATU BARA
43;KABUPATEN PADANG LAWAS UTARA
44;KABUPATEN PADANG LAWAS
45;KABUPATEN LABUHAN BATU SELATAN
46;KABUPATEN LABUHAN BATU UTARA
47;KABUPATEN NIAS UTARA
48;KABUPATEN NIAS BARAT
49;KOTA SIBOLGA
50;KOTA TANJUNG BALAI
51;KOTA PEMATANG SIANTAR
52;KOTA TEBING TINGGI
53;KOTA MEDAN
54;KOTA BINJAI
55;KOTA PADANGSIDIMPUAN
56;KOTA GUNUNGSITOLI
57;KABUPATEN KEPULAUAN MENTAWAI
58;KABUPATEN PESISIR SELATAN
59;KABUPATEN SOLOK
60;KABUPATEN SIJUNJUNG
61;KABUPATEN TANAH DATAR
62;KABUPATEN PADANG PARIAMAN
63;KABUPATEN AGAM
64;KABUPATEN LIMA PULUH KOTA
65;KABUPATEN PASAMAN
66;KABUPATEN SOLOK SELATAN
67;KABUPATEN DHARMASRAYA
68;KABUPATEN PASAMAN BARAT
69;KOTA PADANG
70;KOTA SOLOK
71;KOTA SAWAH LUNTO
72;KOTA PADANG PANJANG
73;KOTA BUKITTINGGI
74;KOTA PAYAKUMBUH
75;KOTA PARIAMAN
76;KABUPATEN KUANTAN SINGINGI
77;KABUPATEN INDRAGIRI HULU
78;KABUPATEN INDRAGIRI HILIR
79;KABUPATEN PELALAWAN
80;KABUPATEN S I A K
81;KABUPATEN KAMPAR
82;KABUPATEN ROKAN HULU
83;KABUPATEN BENGKALIS
84;KABUPATEN ROKAN HILIR
85;KABUPATEN KEPULAUAN MERANTI
86;KOTA PEKANBARU
87;KOTA D U M A I
88;KABUPATEN KERINCI
89;KABUPATEN MERANGIN
90;KABUPATEN SAROLANGUN
91;KABUPATEN BATANG HARI
92;KABUPATEN MUARO JAMBI
93;KABUPATEN TANJUNG JABUNG TIMUR
94;KABUPATEN TANJUNG JABUNG BARAT
95;KABUPATEN TEBO
96;KABUPATEN BUNGO
97;KOTA JAMBI
98;KOTA SUNGAI PENUH
99;KABUPATEN OGAN KOMERING ULU
100;KABUPATEN OGAN KOMERING ILIR
101;KABUPATEN MUARA ENIM
102;KABUPATEN LAHAT
103;KABUPATEN MUSI RAWAS
104;KABUPATEN MUSI BANYUASIN
105;KABUPATEN BANYU ASIN
106;KABUPATEN OGAN KOMERING ULU SELATAN
107;KABUPATEN OGAN KOMERING ULU TIMUR
108;KABUPATEN OGAN ILIR
109;KABUPATEN EMPAT LAWANG
110;KABUPATEN PENUKAL ABAB LEMATANG ILIR
111;KABUPATEN MUSI RAWAS UTARA
112;KOTA PALEMBANG
113;KOTA PRABUMULIH
114;KOTA PAGAR ALAM
115;KOTA LUBUKLINGGAU
116;KABUPATEN BENGKULU SELATAN
117;KABUPATEN REJANG LEBONG
